item_a,item_b,cooccurrence_count
ITEM_2816,ITEM_3485,1
ITEM_1352,ITEM_554,1
ITEM_315,ITEM_722,1
ITEM_1251,ITEM_3995,1
ITEM_1308,ITEM_193,1
ITEM_1900,ITEM_3559,1
ITEM_1168,ITEM_890,1
ITEM_1371,ITEM_2636,1
ITEM_3962,ITEM_4499,1
ITEM_2369,ITEM_723,1
ITEM_2374,ITEM_345,1
ITEM_2495,ITEM_3745,1
ITEM_1063,ITEM_4744,1
ITEM_1216,ITEM_4217,1
ITEM_3492,ITEM_3549,1
ITEM_1758,ITEM_3500,1
ITEM_1477,ITEM_2717,1
ITEM_3291,ITEM_76,1
ITEM_1759,ITEM_3416,1
ITEM_4500,ITEM_890,1
ITEM_2718,ITEM_4509,1
ITEM_4245,ITEM_4923,1
ITEM_3576,ITEM_4964,1
ITEM_3328,ITEM_640,1
ITEM_355,ITEM_3600,1
ITEM_208,ITEM_4908,1
ITEM_1057,ITEM_1546,1
ITEM_1644,ITEM_852,1
ITEM_1640,ITEM_3741,1
ITEM_1942,ITEM_3601,1
ITEM_2459,ITEM_43,1
ITEM_313,ITEM_4563,1
ITEM_3330,ITEM_594,1
ITEM_4227,ITEM_619,1
ITEM_2488,ITEM_2899,1
ITEM_1812,ITEM_3922,1
ITEM_3868,ITEM_4858,1
ITEM_402,ITEM_758,1
ITEM_1443,ITEM_394,1
ITEM_3315,ITEM_976,1
ITEM_4436,ITEM_4833,1
ITEM_2250,ITEM_3725,1
ITEM_293,ITEM_3381,1
ITEM_3998,ITEM_4979,1
ITEM_3985,ITEM_4336,1
ITEM_1706,ITEM_4902,1
ITEM_3249,ITEM_3285,1
ITEM_2502,ITEM_4396,1
ITEM_1294,ITEM_3735,1
ITEM_3472,ITEM_4673,1
ITEM_4687,ITEM_889,1
ITEM_3482,ITEM_559,1
ITEM_2504,ITEM_3592,1
ITEM_249,ITEM_3306,1
ITEM_1739,ITEM_4446,1
ITEM_1438,ITEM_2022,1
ITEM_3315,ITEM_4906,1
ITEM_2083,ITEM_3909,1
ITEM_2418,ITEM_2465,1
ITEM_2781,ITEM_3544,1
ITEM_2922,ITEM_4187,1
ITEM_1609,ITEM_2485,1
ITEM_2503,ITEM_734,1
ITEM_1991,ITEM_4905,1
ITEM_1653,ITEM_3652,1
ITEM_4125,ITEM_4517,1
ITEM_1392,ITEM_294,1
ITEM_2329,ITEM_3868,1
ITEM_4112,ITEM_700,1
ITEM_39,ITEM_4832,1
ITEM_1369,ITEM_3700,1
ITEM_3820,ITEM_505,1
ITEM_1144,ITEM_1838,1
ITEM_1967,ITEM_3295,1
ITEM_3003,ITEM_4528,1
ITEM_4662,ITEM_4683,1
ITEM_4221,ITEM_617,1
ITEM_1578,ITEM_2430,1
ITEM_1644,ITEM_3552,1
ITEM_2553,ITEM_3310,1
ITEM_2694,ITEM_2801,1
ITEM_1370,ITEM_3574,1
ITEM_1739,ITEM_965,1
ITEM_1201,ITEM_3186,1
ITEM_1362,ITEM_2049,1
ITEM_2132,ITEM_3740,1
ITEM_2497,ITEM_4599,1
ITEM_1330,ITEM_286,1
ITEM_2691,ITEM_292,1
ITEM_3503,ITEM_4835,1
ITEM_3067,ITEM_344,1
ITEM_3178,ITEM_462,1
ITEM_1725,ITEM_461,1
ITEM_4420,ITEM_4728,1
ITEM_348,ITEM_4230,1
ITEM_1523,ITEM_2883,1
ITEM_1213,ITEM_2589,1
ITEM_368,ITEM_849,1
ITEM_2121,ITEM_2519,1
ITEM_1249,ITEM_4732,1
ITEM_2571,ITEM_88,1
ITEM_409,ITEM_4943,1
ITEM_1834,ITEM_2392,1
ITEM_3470,ITEM_688,1
ITEM_2418,ITEM_360,1
ITEM_3349,ITEM_3431,1
ITEM_1642,ITEM_4136,1
ITEM_2131,ITEM_4637,1
ITEM_165,ITEM_2860,1
ITEM_2731,ITEM_66,1
ITEM_2395,ITEM_4834,1
ITEM_322,ITEM_617,1
ITEM_2843,ITEM_3723,1
ITEM_3006,ITEM_4337,1
ITEM_3392,ITEM_4760,1
ITEM_1067,ITEM_2241,1
ITEM_2914,ITEM_3024,1
ITEM_4759,ITEM_4988,1
ITEM_1031,ITEM_383,1
ITEM_2793,ITEM_3184,1
ITEM_2378,ITEM_270,1
ITEM_1442,ITEM_3940,1
ITEM_1738,ITEM_4317,1
ITEM_3002,ITEM_510,1
ITEM_3747,ITEM_4257,1
ITEM_4108,ITEM_585,1
